id	height	width
NMAAHC-HCA_14.54.A	1792.0	1392.0
NMAAHC-HCA_15.15.A	1416.0	1752.0
NMAAHC-2007_1_69_15_18_B	1601.0	2000.0
NMAAHC-HCA_15.5.C	1376.0	1712.0
NMAAHC-HCA_15.53.C	1376.0	1712.0
NMAAHC-HCA_15.56.C	1712.0	1376.0
NMAAHC-HCA_1.17.D	1656.0	1352.0
NMAAHC-HCA_1.21.B	1656.0	1319.0
NMAAHC-HCA_1.22.C	1656.0	1364.0
NMAAHC-HCA_1.24.B	1656.0	1319.0
NMAAHC-HCA_1.27.B	1656.0	1319.0
NMAAHC-HCA_1.3.B	1656.0	1327.0
NMAAHC-HCA_1.41.A	1622.0	1345.0
NMAAHC-HCA_1.44.C	1627.0	1340.0
NMAAHC-HCA_1.46.A	1622.0	1345.0
NMAAHC-HCA_1.8.C	1656.0	1370.0
NMAAHC-HCA_1.9.C	1656.0	1322.0
NMAAHC-HCA_10.11.A	1848.0	1392.0
NMAAHC-HCA_10.13.D	1794.0	1447.0
NMAAHC-HCA_10.16.D	1794.0	1447.0
NMAAHC-HCA_10.17.A.2	1268.0	826.0
NMAAHC-HCA_10.17.B.1	1282.0	786.0
NMAAHC-HCA_10.18.A	1848.0	1392.0
NMAAHC-HCA_10.37.D.1	1248.0	792.0
NMAAHC-HCA_10.38.A	1848.0	1392.0
NMAAHC-HCA_10.6.B	1710.0	1434.0
NMAAHC-HCA_10.6.D	1794.0	1447.0
NMAAHC-HCA_10.8.B.1	1264.0	766.0
NMAAHC-HCA_11.13.D	1728.0	1381.0
NMAAHC-HCA_11.14.C	1704.0	1392.0
NMAAHC-HCA_11.16.A	1698.0	1434.0
NMAAHC-HCA_11.16.B	1728.0	1375.0
NMAAHC-HCA_11.16.D	1728.0	1381.0
NMAAHC-HCA_11.18.B	1728.0	1375.0
NMAAHC-HCA_11.22.B	1728.0	1375.0
NMAAHC-HCA_11.24.B	1728.0	1375.0
NMAAHC-HCA_11.25.B	1375.0	1728.0
NMAAHC-HCA_11.30.C	1704.0	1392.0
NMAAHC-HCA_11.32.A	1698.0	1434.0
NMAAHC-HCA_11.33.C	1704.0	1392.0
NMAAHC-HCA_11.34.B	1728.0	1375.0
NMAAHC-HCA_11.38.A.1	1257.0	813.0
NMAAHC-HCA_11.38.C	1392.0	1704.0
NMAAHC-HCA_11.39.B	1728.0	1375.0
NMAAHC-HCA_11.4.A	1698.0	1434.0
NMAAHC-HCA_11.4.C	1704.0	1392.0
NMAAHC-HCA_11.40.B	1728.0	1375.0
NMAAHC-HCA_11.41.A	1434.0	1698.0
NMAAHC-HCA_11.41.B.1	1287.0	801.0
NMAAHC-HCA_11.43.C	1704.0	1392.0
NMAAHC-HCA_11.44.B.1	1260.0	795.0
NMAAHC-HCA_11.44.D	1728.0	1381.0
NMAAHC-HCA_11.6.D	1728.0	1381.0
NMAAHC-HCA_11.8.A	1698.0	1434.0
NMAAHC-HCA_11.9.C	1392.0	1704.0
NMAAHC-HCA_12.11.A	1746.0	1446.0
NMAAHC-HCA_12.18.A	1746.0	1446.0
NMAAHC-HCA_12.18.B	1734.0	1434.0
NMAAHC-HCA_12.19.D	1872.0	1440.0
NMAAHC-HCA_12.2.D	1872.0	1440.0
