image_id	label_1	confidence_1	label_2	confidence_2	label_3	confidence_3	prediction_time
NMAAHC-HCA_11_43_B	Loafer	0.6602658629417419	suit	0.15012367069721222	television	0.0488223135471344	4.930713042616844
NMAAHC-HCA_1_19_C	suit	0.5657562613487244	Windsor_tie	0.02651049569249153	military_uniform	0.020576512441039085	0.1748190624639392
NMAAHC-HCA_9_10_C	bow_tie	0.9914461374282837	ice_lolly	0.0011821173829957843	harmonica	0.0010130282025784254	0.16364571638405323
NMAAHC-HCA_8_37_C_1	bolo_tie	0.15641038119792938	marimba	0.1151566356420517	television	0.058155618607997894	0.1635899068787694
NMAAHC-HCA_20_15_B_2	notebook	0.19870047271251678	laptop	0.15047267079353333	crossword_puzzle	0.08426659554243088	0.16826011147350073
NMAAHC-HCA_7_42_D	cinema	0.19866123795509338	kimono	0.16863678395748138	marimba	0.06487487256526947	0.1818405631929636
NMAAHC-HCA_19_29_C	bucket	0.487724244594574	shower_cap	0.03583021089434624	knee_pad	0.026051726192235947	0.17691786866635084
NMAAHC-HCA_1_28_C	groom	0.3644784986972809	bow_tie	0.13128148019313812	television	0.11362574994564056	0.1668751472607255
NMAAHC-2012_137_15_26_001	dumbbell	0.17392399907112122	diaper	0.12345218658447266	parallel_bars	0.09891907125711441	0.16027334239333868
NMAAHC-HCA_10_38_D	suit	0.5834026336669922	television	0.17836809158325195	Windsor_tie	0.04438868165016174	0.168748427182436
NMAAHC-HCA_4_74_A	toilet_tissue	0.28502872586250305	tub	0.03549040108919144	bassinet	0.034883372485637665	0.16754825320094824
NMAAHC-HCA_4_13_D	groom	0.5443759560585022	bow_tie	0.17779794335365295	suit	0.039150383323431015	0.1557927494868636
NMAAHC-2012_137_12_4_001	bassoon	0.09405555576086044	oboe	0.08619074523448944	military_uniform	0.04494655504822731	0.22276760078966618
NMAAHC-2007_1_69_15_10_C_001	barber_chair	0.5415246486663818	barbershop	0.45029503107070923	hand_blower	0.005366283003240824	0.19960346445441246
NMAAHC-HCA_8_41_C	military_uniform	0.9934420585632324	rifle	0.0004613149503711611	miniskirt	0.00043011418893001974	0.2318374253809452
NMAAHC-HCA_7_30_C	barbershop	0.2541545629501343	barber_chair	0.09460677951574326	television	0.06177030876278877	0.16803844273090363
NMAAHC-2012_137_14_22_001	miniskirt	0.2275795191526413	bath_towel	0.1486596167087555	maillot	0.0487862303853035	0.18817040883004665
NMAAHC-HCA_21_46_B	cowboy_hat	0.3150467574596405	hoopskirt	0.02608165331184864	rocking_chair	0.022035669535398483	0.1683636549860239
NMAAHC-HCA_5_21_C_1	diaper	0.12457480281591415	soccer_ball	0.1090245470404625	tricycle	0.09558502584695816	0.1635716399177909
NMAAHC-HCA_21_26_D	groom	0.43867310881614685	hoopskirt	0.16672691702842712	gown	0.03199750930070877	0.1687923427671194
NMAAHC-HCA_20_41_A	web_site	0.6103249192237854	monitor	0.104302316904068	bow_tie	0.058094605803489685	0.1655644979327917
NMAAHC-HCA_11_36_B	military_uniform	0.2755250334739685	bulletproof_vest	0.1443876475095749	television	0.12351059168577194	0.16715491469949484
NMAAHC-HCA_12_22_D	bow_tie	0.06887286901473999	television	0.053913380950689316	lab_coat	0.035854700952768326	0.1771531831473112
NMAAHC-HCA_6_20_B	suit	0.572583019733429	Windsor_tie	0.04427209869027138	television	0.036595962941646576	0.16148769669234753
NMAAHC-HCA_17_44_B	notebook	0.10048200935125351	book_jacket	0.06082402914762497	television	0.05905037745833397	0.1752355182543397
NMAAHC-HCA_10_46_C	theater_curtain	0.37180662155151367	cinema	0.051189638674259186	prison	0.04656502231955528	0.1620698906481266
NMAAHC-HCA_5_36_B_2	notebook	0.183720201253891	television	0.15727052092552185	bow_tie	0.07013926655054092	0.2351875575259328
NMAAHC-HCA_16_37_D	television	0.5800136923789978	monitor	0.04147877171635628	groom	0.029616964980959892	0.18477983586490154
NMAAHC-HCA_6_45_A	notebook	0.48122745752334595	suit	0.09830280393362045	laptop	0.056272778660058975	0.1594879236072302
NMAAHC-HCA_7_45_D	punching_bag	0.07265621423721313	television	0.06012371554970741	sliding_door	0.055138733237981796	0.28498187381774187
NMAAHC-HCA_5_30_B	barbershop	0.26151466369628906	television	0.10257349908351898	barber_chair	0.07561423629522324	0.1898186793550849
NMAAHC-HCA_1_2_B	cloak	0.04694308713078499	television	0.04462740942835808	sliding_door	0.04000551998615265	0.16677118744701147
NMAAHC-HCA_17_36_C	television	0.3382696211338043	stretcher	0.055751871317625046	four-poster	0.038209158927202225	0.3056311421096325
NMAAHC-HCA_9_19_A	military_uniform	0.8406891822814941	television	0.0066308798268437386	shoji	0.004605669062584639	0.25779009237885475
NMAAHC-HCA_9_6_A	soccer_ball	0.344647079706192	bucket	0.18411493301391602	television	0.04062129929661751	0.18399949092417955
NMAAHC-HCA_20_13_A	web_site	0.5840628147125244	lab_coat	0.0425744391977787	monitor	0.026557324454188347	0.1635155500844121
NMAAHC-HCA_13_2_A	sunglasses	0.31515735387802124	sunglass	0.1863861382007599	maillot	0.160483717918396	0.1673061717301607
NMAAHC-HCA_4_13_A	vestment	0.09926239401102066	academic_gown	0.07503502070903778	groom	0.033897168934345245	0.24854476004838943
NMAAHC-HCA_7_36_A	bow_tie	0.12533505260944366	barbershop	0.08933141082525253	web_site	0.08395963907241821	0.22734964918345213
NMAAHC-HCA_17_50_C	television	0.6208932399749756	screen	0.08983973413705826	monitor	0.07252974063158035	0.17938828375190496
NMAAHC-HCA_16_42_C_2	television	0.18295182287693024	stethoscope	0.07777868956327438	military_uniform	0.07004914432764053	0.1904108775779605
